end,value,state,type
2001-06-16,394000,nat,h
2001-06-23,381000,nat,h
2001-06-30,394000,nat,h
2001-07-07,401000,nat,h
2001-07-14,405000,nat,h
2001-07-21,398000,nat,h
2001-07-28,388000,nat,h
2001-08-04,401000,nat,h
2001-08-11,394000,nat,h
2001-08-18,402000,nat,h
2001-08-25,395000,nat,h
2001-09-01,402000,nat,h
2001-09-08,408000,nat,h
2001-09-15,395000,nat,h
2001-09-22,453000,nat,h
2001-09-29,517000,nat,h
2001-10-06,476000,nat,h
2001-10-13,482000,nat,h
2001-10-20,482000,nat,h
2001-10-27,483000,nat,h
2001-11-03,440000,nat,h
2001-11-10,428000,nat,h
2001-11-17,431000,nat,h
2001-11-24,491000,nat,h
2001-12-01,465000,nat,h
2001-12-08,393000,nat,h
2001-12-15,389000,nat,h
2001-12-22,416000,nat,h
2001-12-29,421000,nat,h
2002-01-05,397000,nat,h
2002-01-12,418000,nat,h
2002-01-19,405000,nat,h
2002-01-26,414000,nat,h
2002-02-02,404000,nat,h
2002-02-09,397000,nat,h
2002-02-16,397000,nat,h
2002-02-23,398000,nat,h
2002-03-02,392000,nat,h
2002-03-09,399000,nat,h
2002-03-16,392000,nat,h
2002-03-23,415000,nat,h
2002-03-30,479000,nat,h
2002-04-06,445000,nat,h
2002-04-13,442000,nat,h
2002-04-20,416000,nat,h
2002-04-27,414000,nat,h
2002-05-04,409000,nat,h
2002-05-11,413000,nat,h
2002-05-18,411000,nat,h
2002-05-25,403000,nat,h
2002-06-01,378000,nat,h
2002-06-08,388000,nat,h
2002-06-15,396000,nat,h
2002-06-22,388000,nat,h
2002-06-29,386000,nat,h
2002-07-06,391000,nat,h
2002-07-13,384000,nat,h
2002-07-20,379000,nat,h
2002-07-27,390000,nat,h
2002-08-03,388000,nat,h
2002-08-10,389000,nat,h
2002-08-17,399000,nat,h
2002-08-24,398000,nat,h
2002-08-31,394000,nat,h
2002-09-07,416000,nat,h
2002-09-14,412000,nat,h
2002-09-21,401000,nat,h
2002-09-28,409000,nat,h
2002-10-05,404000,nat,h
2002-10-12,405000,nat,h
2002-10-19,412000,nat,h
2002-10-26,409000,nat,h
2002-11-02,405000,nat,h
2002-11-09,400000,nat,h
2002-11-16,389000,nat,h
2002-11-23,390000,nat,h
2002-11-30,377000,nat,h
2002-12-07,425000,nat,h
2002-12-14,429000,nat,h
2002-12-21,394000,nat,h
2002-12-28,409000,nat,h
2003-01-04,393000,nat,h
2003-01-11,378000,nat,h
2003-01-18,402000,nat,h
2003-01-25,407000,nat,h
2003-02-01,413000,nat,h
2003-02-08,390000,nat,h
2003-02-15,420000,nat,h
2003-02-22,421000,nat,h
2003-03-01,436000,nat,h
2003-03-08,424000,nat,h
2003-03-15,430000,nat,h
2003-03-22,411000,nat,h
2003-03-29,436000,nat,h
2003-04-05,417000,nat,h
2003-04-12,434000,nat,h
2003-04-19,450000,nat,h
2003-04-26,444000,nat,h
2003-05-03,428000,nat,h
2003-05-10,417000,nat,h
2003-05-17,425000,nat,h
2003-05-24,419000,nat,h
2003-05-31,431000,nat,h
2003-06-07,429000,nat,h
2003-06-14,421000,nat,h
2003-06-21,408000,nat,h
2003-06-28,429000,nat,h
2003-07-05,433000,nat,h
2003-07-12,412000,nat,h
2003-07-19,403000,nat,h
2003-07-26,398000,nat,h
2003-08-02,401000,nat,h
2003-08-09,404000,nat,h
2003-08-16,398000,nat,h
2003-08-23,391000,nat,h
2003-08-30,407000,nat,h
2003-09-06,422000,nat,h
2003-09-13,394000,nat,h
2003-09-20,379000,nat,h
2003-09-27,387000,nat,h
2003-10-04,386000,nat,h
2003-10-11,376000,nat,h
2003-10-18,387000,nat,h
2003-10-25,379000,nat,h
2003-11-01,363000,nat,h
2003-11-08,371000,nat,h
2003-11-15,370000,nat,h
2003-11-22,354000,nat,h
2003-11-29,357000,nat,h
2003-12-06,367000,nat,h
2003-12-13,363000,nat,h
2003-12-20,354000,nat,h
2003-12-27,349000,nat,h
2004-01-03,356000,nat,h
2004-01-10,354000,nat,h
2004-01-17,362000,nat,h
2004-01-24,353000,nat,h
2004-01-31,376000,nat,h
2004-02-07,380000,nat,h
2004-02-14,356000,nat,h
2004-02-21,359000,nat,h
2004-02-28,348000,nat,h
2004-03-06,344000,nat,h
2004-03-13,338000,nat,h
2004-03-20,346000,nat,h
2004-03-27,340000,nat,h
2004-04-03,335000,nat,h
2004-04-10,355000,nat,h
2004-04-17,364000,nat,h
2004-04-24,339000,nat,h
2004-05-01,324000,nat,h
2004-05-08,329000,nat,h
2004-05-15,349000,nat,h
2004-05-22,342000,nat,h
2004-05-29,337000,nat,h
2004-06-05,355000,nat,h
2004-06-12,339000,nat,h
2004-06-19,354000,nat,h
2004-06-26,348000,nat,h
2004-07-03,326000,nat,h
2004-07-10,345000,nat,h
2004-07-17,355000,nat,h
2004-07-24,348000,nat,h
2004-07-31,341000,nat,h
2004-08-07,336000,nat,h
2004-08-14,332000,nat,h
2004-08-21,343000,nat,h
2004-08-28,352000,nat,h
2004-09-04,326000,nat,h
2004-09-11,331000,nat,h
2004-09-18,341000,nat,h
2004-09-25,351000,nat,h
2004-10-02,335000,nat,h
2004-10-09,338000,nat,h
2004-10-16,327000,nat,h
2004-10-23,338000,nat,h
2004-10-30,332000,nat,h
2004-11-06,330000,nat,h
2004-11-13,337000,nat,h
2004-11-20,313000,nat,h
2004-11-27,335000,nat,h
2004-12-04,343000,nat,h
2004-12-11,316000,nat,h
2004-12-18,322000,nat,h
2004-12-25,320000,nat,h
2005-01-01,356000,nat,h
2005-01-08,369000,nat,h
2005-01-15,332000,nat,h
2005-01-22,329000,nat,h
2005-01-29,331000,nat,h
2005-02-05,307000,nat,h
2005-02-12,308000,nat,h
2005-02-19,318000,nat,h
2005-02-26,314000,nat,h
2005-03-05,333000,nat,h
2005-03-12,324000,nat,h
2005-03-19,329000,nat,h
2005-03-26,342000,nat,h
2005-04-02,335000,nat,h
2005-04-09,323000,nat,h
2005-04-16,307000,nat,h
2005-04-23,317000,nat,h
2005-04-30,334000,nat,h
2005-05-07,327000,nat,h
2005-05-14,321000,nat,h
2005-05-21,320000,nat,h
2005-05-28,340000,nat,h
2005-06-04,338000,nat,h
2005-06-11,333000,nat,h
2005-06-18,321000,nat,h
2005-06-25,311000,nat,h
2005-07-02,327000,nat,h
2005-07-09,338000,nat,h
2005-07-16,323000,nat,h
2005-07-23,318000,nat,h
2005-07-30,316000,nat,h
2005-08-06,311000,nat,h
2005-08-13,319000,nat,h
2005-08-20,315000,nat,h
2005-08-27,318000,nat,h
2005-09-03,326000,nat,h
2005-09-10,422000,nat,h
2005-09-17,424000,nat,h
2005-09-24,359000,nat,h
2005-10-01,384000,nat,h
2005-10-08,383000,nat,h
2005-10-15,348000,nat,h
2005-10-22,324000,nat,h
2005-10-29,322000,nat,h
2005-11-05,325000,nat,h
2005-11-12,309000,nat,h
2005-11-19,324000,nat,h
2005-11-26,311000,nat,h
2005-12-03,321000,nat,h
2005-12-10,327000,nat,h
2005-12-17,312000,nat,h
2005-12-24,320000,nat,h
2005-12-31,302000,nat,h
2006-01-07,326000,nat,h
2006-01-14,285000,nat,h
2006-01-21,290000,nat,h
2006-01-28,282000,nat,h
2006-02-04,289000,nat,h
2006-02-11,298000,nat,h
2006-02-18,283000,nat,h
2006-02-25,293000,nat,h
2006-03-04,302000,nat,h
2006-03-11,307000,nat,h
2006-03-18,303000,nat,h
2006-03-25,295000,nat,h
2006-04-01,291000,nat,h
2006-04-08,299000,nat,h
2006-04-15,299000,nat,h
2006-04-22,308000,nat,h
2006-04-29,321000,nat,h
2006-05-06,347000,nat,h
2006-05-13,335000,nat,h
2006-05-20,319000,nat,h
2006-05-27,330000,nat,h
2006-06-03,307000,nat,h
2006-06-10,298000,nat,h
2006-06-17,308000,nat,h
2006-06-24,309000,nat,h
2006-07-01,316000,nat,h
2006-07-08,343000,nat,h
2006-07-15,318000,nat,h
2006-07-22,306000,nat,h
2006-07-29,311000,nat,h
2006-08-05,318000,nat,h
2006-08-12,310000,nat,h
2006-08-19,315000,nat,h
2006-08-26,314000,nat,h
2006-09-02,315000,nat,h
2006-09-09,314000,nat,h
2006-09-16,324000,nat,h
2006-09-23,319000,nat,h
2006-09-30,309000,nat,h
2006-10-07,316000,nat,h
2006-10-14,305000,nat,h
2006-10-21,313000,nat,h
2006-10-28,328000,nat,h
2006-11-04,319000,nat,h
2006-11-11,311000,nat,h
2006-11-18,326000,nat,h
2006-11-25,349000,nat,h
2006-12-02,327000,nat,h
2006-12-09,311000,nat,h
2006-12-16,318000,nat,h
2006-12-23,323000,nat,h
2006-12-30,341000,nat,h
2007-01-06,330000,nat,h
2007-01-13,296000,nat,h
2007-01-20,335000,nat,h
2007-01-27,308000,nat,h
2007-02-03,310000,nat,h
2007-02-10,338000,nat,h
2007-02-17,321000,nat,h
2007-02-24,322000,nat,h
2007-03-03,320000,nat,h
2007-03-10,308000,nat,h
2007-03-17,309000,nat,h
2007-03-24,303000,nat,h
2007-03-31,307000,nat,h
2007-04-07,332000,nat,h
2007-04-14,327000,nat,h
2007-04-21,321000,nat,h
2007-04-28,301000,nat,h
2007-05-05,300000,nat,h
2007-05-12,297000,nat,h
2007-05-19,310000,nat,h
2007-05-26,310000,nat,h
2007-06-02,313000,nat,h
2007-06-09,313000,nat,h
2007-06-16,320000,nat,h
2007-06-23,313000,nat,h
2007-06-30,317000,nat,h
2007-07-07,321000,nat,h
2007-07-14,317000,nat,h
2007-07-21,310000,nat,h
2007-07-28,305000,nat,h
2007-08-04,314000,nat,h
2007-08-11,316000,nat,h
2007-08-18,321000,nat,h
2007-08-25,329000,nat,h
2007-09-01,314000,nat,h
2007-09-08,321000,nat,h
2007-09-15,313000,nat,h
2007-09-22,302000,nat,h
2007-09-29,317000,nat,h
2007-10-06,316000,nat,h
2007-10-13,335000,nat,h
2007-10-20,334000,nat,h
2007-10-27,328000,nat,h
2007-11-03,327000,nat,h
2007-11-10,333000,nat,h
2007-11-17,332000,nat,h
2007-11-24,352000,nat,h
2007-12-01,344000,nat,h
2007-12-08,332000,nat,h
2007-12-15,350000,nat,h
2007-12-22,355000,nat,h
2007-12-29,360000,nat,h
2008-01-05,346000,nat,h
2008-01-12,322000,nat,h
2008-01-19,321000,nat,h
2008-01-26,366000,nat,h
2008-02-02,350000,nat,h
2008-02-09,344000,nat,h
2008-02-16,339000,nat,h
2008-02-23,354000,nat,h
2008-03-01,345000,nat,h
2008-03-08,348000,nat,h
2008-03-15,369000,nat,h
2008-03-22,368000,nat,h
2008-03-29,387000,nat,h
2008-04-05,354000,nat,h
2008-04-12,365000,nat,h
2008-04-19,349000,nat,h
2008-04-26,370000,nat,h
2008-05-03,370000,nat,h
2008-05-10,366000,nat,h
2008-05-17,367000,nat,h
2008-05-24,369000,nat,h
2008-05-31,362000,nat,h
2008-06-07,382000,nat,h
2008-06-14,378000,nat,h
2008-06-21,381000,nat,h
2008-06-28,392000,nat,h
2008-07-05,371000,nat,h
2008-07-12,385000,nat,h
2008-07-19,402000,nat,h
2008-07-26,434000,nat,h
2008-08-02,448000,nat,h
2008-08-09,430000,nat,h
2008-08-16,424000,nat,h
2008-08-23,421000,nat,h
2008-08-30,442000,nat,h
2008-09-06,441000,nat,h
2008-09-13,449000,nat,h
2008-09-20,483000,nat,h
2008-09-27,483000,nat,h
2008-10-04,482000,nat,h
2008-10-11,461000,nat,h
2008-10-18,478000,nat,h
2008-10-25,480000,nat,h
2008-11-01,490000,nat,h
2008-11-08,512000,nat,h
2008-11-15,536000,nat,h
2008-11-22,532000,nat,h
2008-11-29,529000,nat,h
2008-12-06,570000,nat,h
2008-12-13,566000,nat,h
2008-12-20,587000,nat,h
2008-12-27,533000,nat,h
2009-01-03,503000,nat,h
2009-01-10,551000,nat,h
2009-01-17,591000,nat,h
2009-01-24,586000,nat,h
2009-01-31,629000,nat,h
2009-02-07,637000,nat,h
2009-02-14,632000,nat,h
2009-02-21,655000,nat,h
2009-02-28,652000,nat,h
2009-03-07,660000,nat,h
2009-03-14,651000,nat,h
2009-03-21,661000,nat,h
2009-03-28,665000,nat,h
2009-04-04,653000,nat,h
2009-04-11,599000,nat,h
2009-04-18,639000,nat,h
2009-04-25,620000,nat,h
2009-05-02,602000,nat,h
2009-05-09,625000,nat,h
2009-05-16,620000,nat,h
2009-05-23,606000,nat,h
2009-05-30,607000,nat,h
2009-06-06,596000,nat,h
2009-06-13,595000,nat,h
2009-06-20,608000,nat,h
2009-06-27,594000,nat,h
2009-07-04,573000,nat,h
2009-07-11,546000,nat,h
2009-07-18,560000,nat,h
2009-07-25,587000,nat,h
2009-08-01,555000,nat,h
2009-08-08,555000,nat,h
2009-08-15,562000,nat,h
2009-08-22,560000,nat,h
2009-08-29,564000,nat,h
2009-09-05,558000,nat,h
2009-09-12,542000,nat,h
2009-09-19,536000,nat,h
2009-09-26,554000,nat,h
2009-10-03,533000,nat,h
2009-10-10,511000,nat,h
2009-10-17,531000,nat,h
2009-10-24,530000,nat,h
2009-10-31,522000,nat,h
2009-11-07,512000,nat,h
2009-11-14,507000,nat,h
2009-11-21,482000,nat,h
2009-11-28,475000,nat,h
2009-12-05,497000,nat,h
2009-12-12,498000,nat,h
2009-12-19,479000,nat,h
2009-12-26,468000,nat,h
2010-01-02,456000,nat,h
2010-01-09,469000,nat,h
2010-01-16,507000,nat,h
2010-01-23,471000,nat,h
2010-01-30,496000,nat,h
2010-02-06,466000,nat,h
2010-02-13,489000,nat,h
2010-02-20,500000,nat,h
2010-02-27,488000,nat,h
2010-03-06,472000,nat,h
2010-03-13,478000,nat,h
2010-03-20,472000,nat,h
2010-03-27,459000,nat,h
2010-04-03,479000,nat,h
2010-04-10,479000,nat,h
2010-04-17,469000,nat,h
2010-04-24,449000,nat,h
2010-05-01,451000,nat,h
2010-05-08,451000,nat,h
2010-05-15,474000,nat,h
2010-05-22,463000,nat,h
2010-05-29,458000,nat,h
2010-06-05,459000,nat,h
2010-06-12,467000,nat,h
2010-06-19,452000,nat,h
2010-06-26,464000,nat,h
2010-07-03,454000,nat,h
2010-07-10,439000,nat,h
2010-07-17,462000,nat,h
2010-07-24,465000,nat,h
2010-07-31,476000,nat,h
2010-08-07,483000,nat,h
2010-08-14,486000,nat,h
2010-08-21,464000,nat,h
2010-08-28,467000,nat,h
2010-09-04,452000,nat,h
2010-09-11,444000,nat,h
2010-09-18,459000,nat,h
2010-09-25,459000,nat,h
2010-10-02,446000,nat,h
2010-10-09,459000,nat,h
2010-10-16,444000,nat,h
2010-10-23,432000,nat,h
2010-10-30,453000,nat,h
2010-11-06,434000,nat,h
2010-11-13,432000,nat,h
2010-11-20,407000,nat,h
2010-11-27,432000,nat,h
2010-12-04,428000,nat,h
2010-12-11,425000,nat,h
2010-12-18,424000,nat,h
2010-12-25,404000,nat,h
2011-01-01,413000,nat,h
2011-01-08,434000,nat,h
2011-01-15,421000,nat,h
2011-01-22,446000,nat,h
2011-01-29,420000,nat,h
2011-02-05,402000,nat,h
2011-02-12,425000,nat,h
2011-02-19,394000,nat,h
2011-02-26,385000,nat,h
2011-03-05,414000,nat,h
2011-03-12,404000,nat,h
2011-03-19,407000,nat,h
2011-03-26,399000,nat,h
2011-04-02,395000,nat,h
2011-04-09,416000,nat,h
2011-04-16,402000,nat,h
2011-04-23,422000,nat,h
2011-04-30,468000,nat,h
2011-05-07,435000,nat,h
2011-05-14,414000,nat,h
2011-05-21,423000,nat,h
2011-05-28,418000,nat,h
2011-06-04,423000,nat,h
2011-06-11,413000,nat,h
2011-06-18,416000,nat,h
2011-06-25,421000,nat,h
2011-07-02,418000,nat,h
2011-07-09,408000,nat,h
2011-07-16,420000,nat,h
2011-07-23,411000,nat,h
2011-07-30,406000,nat,h
2011-08-06,405000,nat,h
2011-08-13,409000,nat,h
2011-08-20,415000,nat,h
2011-08-27,409000,nat,h
2011-09-03,414000,nat,h
2011-09-10,429000,nat,h
2011-09-17,422000,nat,h
2011-09-24,406000,nat,h
2011-10-01,405000,nat,h
2011-10-08,410000,nat,h
2011-10-15,395000,nat,h
2011-10-22,403000,nat,h
2011-10-29,399000,nat,h
2011-11-05,392000,nat,h
2011-11-12,383000,nat,h
2011-11-19,385000,nat,h
2011-11-26,397000,nat,h
2011-12-03,387000,nat,h
2011-12-10,368000,nat,h
2011-12-17,368000,nat,h
2011-12-24,386000,nat,h
2011-12-31,376000,nat,h
2012-01-07,391000,nat,h
2012-01-14,367000,nat,h
2012-01-21,381000,nat,h
2012-01-28,372000,nat,h
2012-02-04,368000,nat,h
2012-02-11,361000,nat,h
2012-02-18,359000,nat,h
2012-02-25,365000,nat,h
2012-03-03,375000,nat,h
2012-03-10,369000,nat,h
2012-03-17,368000,nat,h
2012-03-24,363000,nat,h
2012-03-31,358000,nat,h
2012-04-07,387000,nat,h
2012-04-14,381000,nat,h
2012-04-21,387000,nat,h
2012-04-28,372000,nat,h
2012-05-05,373000,nat,h
2012-05-12,369000,nat,h
2012-05-19,371000,nat,h
2012-05-26,381000,nat,h
2012-06-02,377000,nat,h
2012-06-09,383000,nat,h
2012-06-16,384000,nat,h
2012-06-23,380000,nat,h
2012-06-30,372000,nat,h
2012-07-07,360000,nat,h
2012-07-14,390000,nat,h
2012-07-21,368000,nat,h
2012-07-28,372000,nat,h
2012-08-04,371000,nat,h
2012-08-11,369000,nat,h
2012-08-18,376000,nat,h
2012-08-25,377000,nat,h
2012-09-01,371000,nat,h
2012-09-08,393000,nat,h
2012-09-15,392000,nat,h
2012-09-22,377000,nat,h
2012-09-29,376000,nat,h
2012-10-06,350000,nat,h
2012-10-13,386000,nat,h
2012-10-20,374000,nat,h
2012-10-27,364000,nat,h
2012-11-03,365000,nat,h
2012-11-10,446000,nat,h
2012-11-17,406000,nat,h
2012-11-24,388000,nat,h
2012-12-01,375000,nat,h
2012-12-08,340000,nat,h
2012-12-15,356000,nat,h
2012-12-22,362000,nat,h
2012-12-29,362000,nat,h
2013-01-05,363000,nat,h
2013-01-12,344000,nat,h
2013-01-19,339000,nat,h
2013-01-26,366000,nat,h
2013-02-02,361000,nat,h
2013-02-09,347000,nat,h
2013-02-16,362000,nat,h
2013-02-23,342000,nat,h
2013-03-02,340000,nat,h
2013-03-09,343000,nat,h
2013-03-16,343000,nat,h
2013-03-23,358000,nat,h
2013-03-30,375000,nat,h
2013-04-06,359000,nat,h
2013-04-13,356000,nat,h
2013-04-20,343000,nat,h
2013-04-27,331000,nat,h
2013-05-04,335000,nat,h
2013-05-11,360000,nat,h
2013-05-18,343000,nat,h
2013-05-25,353000,nat,h
2013-06-01,346000,nat,h
2013-06-08,337000,nat,h
2013-06-15,353000,nat,h
2013-06-22,347000,nat,h
2013-06-29,340000,nat,h
2013-07-06,351000,nat,h
2013-07-13,344000,nat,h
2013-07-20,355000,nat,h
2013-07-27,334000,nat,h
2013-08-03,339000,nat,h
2013-08-10,327000,nat,h
2013-08-17,340000,nat,h
2013-08-24,336000,nat,h
2013-08-31,325000,nat,h
2013-09-07,300000,nat,h
2013-09-14,323000,nat,h
2013-09-21,314000,nat,h
2013-09-28,319000,nat,h
2013-10-05,368000,nat,h
2013-10-12,368000,nat,h
2013-10-19,351000,nat,h
2013-10-26,347000,nat,h
2013-11-02,342000,nat,h
2013-11-09,340000,nat,h
2013-11-16,331000,nat,h
2013-11-23,316000,nat,h
2013-11-30,312000,nat,h
2013-12-07,354000,nat,h
2013-12-14,364000,nat,h
2013-12-21,334000,nat,h
2013-12-28,332000,nat,h
2014-01-04,322000,nat,h
2014-01-11,318000,nat,h
2014-01-18,327000,nat,h
2014-01-25,340000,nat,h
2014-02-01,331000,nat,h
2014-02-08,337000,nat,h
2014-02-15,332000,nat,h
2014-02-22,341000,nat,h
2014-03-01,319000,nat,h
2014-03-08,322000,nat,h
2014-03-15,321000,nat,h
2014-03-22,313000,nat,h
2014-03-29,330000,nat,h
2014-04-05,311000,nat,h
2014-04-12,308000,nat,h
2014-04-19,327000,nat,h
2014-04-26,345000,nat,h
2014-05-03,325000,nat,h
2014-05-10,303000,nat,h
2014-05-17,324000,nat,h
2014-05-24,305000,nat,h
2014-05-31,312000,nat,h
2014-06-07,317000,nat,h
2014-06-14,314000,nat,h
2014-06-21,315000,nat,h
2014-06-28,308000,nat,h
2014-07-05,302000,nat,h
2014-07-12,308000,nat,h
2014-07-19,294000,nat,h
2014-07-26,303000,nat,h
2014-08-02,295000,nat,h
2014-08-09,309000,nat,h
2014-08-16,303000,nat,h
2014-08-23,300000,nat,h
2014-08-30,303000,nat,h
2014-09-06,307000,nat,h
2014-09-13,288000,nat,h
2014-09-20,295000,nat,h
2014-09-27,290000,nat,h
2014-10-04,293000,nat,h
2014-10-11,281000,nat,h
2014-10-18,290000,nat,h
2014-10-25,291000,nat,h
2014-11-01,280000,nat,h
2014-11-08,291000,nat,h
2014-11-15,293000,nat,h
2014-11-22,303000,nat,h
2014-11-29,291000,nat,h
2014-12-06,291000,nat,h
2014-12-13,286000,nat,h
2014-12-20,276000,nat,h
2014-12-27,285000,nat,h
2015-01-03,294000,nat,h
2015-01-10,304000,nat,h
2015-01-17,299000,nat,h
2015-01-24,262000,nat,h
2015-01-31,282000,nat,h
2015-02-07,298000,nat,h
2015-02-14,284000,nat,h
2015-02-21,305000,nat,h
2015-02-28,316000,nat,h
2015-03-07,293000,nat,h
2015-03-14,289000,nat,h
2015-03-21,283000,nat,h
2015-03-28,267000,nat,h
2015-04-04,281000,nat,h
2015-04-11,294000,nat,h
2015-04-18,295000,nat,h
2015-04-25,269000,nat,h
2015-05-02,269000,nat,h
2015-05-09,270000,nat,h
2015-05-16,275000,nat,h
2015-05-23,280000,nat,h
2015-05-30,275000,nat,h
2015-06-06,278000,nat,h
2015-06-13,268000,nat,h
2015-06-20,274000,nat,h
2015-06-27,275000,nat,h
2015-07-04,292000,nat,h
2015-07-11,284000,nat,h
2015-07-18,265000,nat,h
2015-07-25,268000,nat,h
2015-08-01,270000,nat,h
2015-08-08,274000,nat,h
2015-08-15,278000,nat,h
2015-08-22,274000,nat,h
2015-08-29,280000,nat,h
2015-09-05,272000,nat,h
2015-09-12,264000,nat,h
2015-09-19,269000,nat,h
2015-09-26,273000,nat,h
2015-10-03,267000,nat,h
2015-10-10,265000,nat,h
2015-10-17,265000,nat,h
2015-10-24,264000,nat,h
2015-10-31,275000,nat,h
2015-11-07,276000,nat,h
2015-11-14,274000,nat,h
2015-11-21,261000,nat,h
2015-11-28,264000,nat,h
2015-12-05,283000,nat,h
2015-12-12,271000,nat,h
2015-12-19,262000,nat,h
2015-12-26,277000,nat,h
2016-01-02,275000,nat,h
2016-01-09,282000,nat,h
2016-01-16,292000,nat,h
2016-01-23,270000,nat,h
2016-01-30,283000,nat,h
2016-02-06,265000,nat,h
2016-02-13,262000,nat,h
2016-02-20,271000,nat,h
2016-02-27,268000,nat,h
2016-03-05,256000,nat,h
2016-03-12,262000,nat,h
2016-03-19,263000,nat,h
2016-03-26,271000,nat,h
2016-04-02,269000,nat,h
2016-04-09,258000,nat,h
2016-04-16,254000,nat,h
2016-04-23,260000,nat,h
2016-04-30,279000,nat,h
2016-05-07,288000,nat,h
2016-05-14,278000,nat,h
2016-05-21,266000,nat,h
2016-05-28,264000,nat,h
2016-06-04,265000,nat,h
2016-06-11,273000,nat,h
2016-06-18,262000,nat,h
2016-06-25,263000,nat,h
2016-07-02,256000,nat,h
2016-07-09,255000,nat,h
2016-07-16,260000,nat,h
2016-07-23,263000,nat,h
2016-07-30,267000,nat,h
2016-08-06,266000,nat,h
2016-08-13,265000,nat,h
2016-08-20,264000,nat,h
2016-08-27,262000,nat,h
2016-09-03,257000,nat,h
2016-09-10,251000,nat,h
2016-09-17,252000,nat,h
2016-09-24,247000,nat,h
2016-10-01,247000,nat,h
2016-10-08,250000,nat,h
2016-10-15,265000,nat,h
2016-10-22,257000,nat,h
2016-10-29,266000,nat,h
2016-11-05,251000,nat,h
2016-11-12,235000,nat,h
2016-11-19,249000,nat,h
2016-11-26,259000,nat,h
2016-12-03,253000,nat,h
2016-12-10,257000,nat,h
2016-12-17,264000,nat,h
2016-12-24,255000,nat,h
2016-12-31,238000,nat,h
2017-01-07,242000,nat,h
2017-01-14,248000,nat,h
2017-01-21,257000,nat,h
2017-01-28,244000,nat,h
2017-02-04,235000,nat,h
2017-02-11,243000,nat,h
2017-02-18,244000,nat,h
2017-02-25,232000,nat,h
2017-03-04,244000,nat,h
2017-03-11,243000,nat,h
2017-03-18,253000,nat,h
2017-03-25,253000,nat,h
2017-04-01,232000,nat,h
2017-04-08,232000,nat,h
2017-04-15,241000,nat,h
2017-04-22,253000,nat,h
2017-04-29,242000,nat,h
2017-05-06,237000,nat,h
2017-05-13,235000,nat,h
2017-05-20,232000,nat,h
2017-05-27,251000,nat,h
2017-06-03,244000,nat,h
2017-06-10,238000,nat,h
2017-06-17,243000,nat,h
2017-06-24,239000,nat,h
2017-07-01,248000,nat,h
2017-07-08,246000,nat,h
2017-07-15,241000,nat,h
2017-07-22,243000,nat,h
2017-07-29,243000,nat,h
2017-08-05,244000,nat,h
2017-08-12,237000,nat,h
2017-08-19,239000,nat,h
2017-08-26,239000,nat,h
2017-09-02,300000,nat,h
2017-09-09,272000,nat,h
2017-09-16,260000,nat,h
2017-09-23,262000,nat,h
2017-09-30,257000,nat,h
2017-10-07,245000,nat,h
2017-10-14,233000,nat,h
2017-10-21,236000,nat,h
2017-10-28,237000,nat,h
2017-11-04,239000,nat,h
2017-11-11,250000,nat,h
