Percentile,Medicaid,Medicare,Medicare+Medicaid,CHIP,Military,Direct Purchase,Employer,Other,Uninsured,Subsidized Exchange,type,year
85,0.027,0.09,0.006,0.003,0.034,0.057,0.696,0.017,0.071,0,smoothed,2009
86,0.022,0.1,0.007,0.002,0.033,0.05,0.708,0.015,0.065,0,smoothed,2009
87,0.023,0.093,0.006,0.001,0.026,0.05,0.72,0.014,0.066,0,smoothed,2009
88,0.024,0.102,0.007,0.002,0.034,0.045,0.709,0.012,0.065,0,smoothed,2009
89,0.025,0.101,0.006,0.002,0.036,0.054,0.703,0.012,0.062,0,smoothed,2009
90,0.021,0.105,0.004,0.001,0.044,0.054,0.697,0.011,0.063,0,smoothed,2009
91,0.016,0.103,0.005,0,0.038,0.06,0.706,0.011,0.061,0,smoothed,2009
92,0.016,0.1,0.006,0.001,0.037,0.056,0.716,0.009,0.059,0,smoothed,2009
93,0.014,0.101,0.007,0.001,0.034,0.057,0.724,0.007,0.056,0,smoothed,2009
94,0.013,0.113,0.006,0.001,0.031,0.06,0.713,0.007,0.056,0,smoothed,2009
95,0.01,0.116,0.004,0.001,0.029,0.067,0.706,0.009,0.058,0,smoothed,2009
96,0.01,0.136,0.004,0.001,0.031,0.075,0.681,0.009,0.054,0,smoothed,2009
97,0.013,0.118,0.003,0.002,0.032,0.082,0.695,0.009,0.046,0,smoothed,2009
98,0.018,0.104,0.002,0.002,0.026,0.08,0.701,0.007,0.059,0,smoothed,2009
99,0.021,0.071,0.003,0.002,0.017,0.08,0.722,0.007,0.077,0,smoothed,2009
100,0.021,0.066,0.003,0.001,0.013,0.075,0.717,0.005,0.1,0,smoothed,2009
0,0.202,0.237,0.032,0.006,0.021,0.074,0.178,0.004,0.214,0.032,smoothed,2020
1,0.249,0.225,0.034,0.007,0.021,0.067,0.164,0.004,0.197,0.032,smoothed,2020
2,0.327,0.196,0.041,0.010,0.020,0.044,0.149,0.002,0.185,0.026,smoothed,2020
3,0.341,0.194,0.044,0.011,0.017,0.043,0.153,0.002,0.169,0.026,smoothed,2020
4,0.345,0.201,0.048,0.013,0.016,0.034,0.146,0.001,0.169,0.027,smoothed,2020
5,0.339,0.212,0.051,0.013,0.011,0.027,0.142,0.002,0.176,0.027,smoothed,2020
6,0.340,0.220,0.053,0.012,0.010,0.027,0.143,0.003,0.163,0.027,smoothed,2020
7,0.327,0.225,0.060,0.010,0.011,0.030,0.155,0.003,0.154,0.024,smoothed,2020
8,0.327,0.233,0.063,0.010,0.010,0.029,0.157,0.003,0.142,0.027,smoothed,2020
9,0.343,0.231,0.060,0.012,0.011,0.025,0.153,0.002,0.138,0.024,smoothed,2020
10,0.355,0.227,0.051,0.013,0.008,0.023,0.160,0.002,0.140,0.022,smoothed,2020
11,0.337,0.226,0.047,0.012,0.010,0.023,0.174,0.002,0.150,0.018,smoothed,2020
12,0.343,0.224,0.046,0.012,0.009,0.024,0.184,0.001,0.140,0.018,smoothed,2020
13,0.333,0.223,0.046,0.010,0.009,0.022,0.198,0.003,0.141,0.015,smoothed,2020
14,0.336,0.217,0.048,0.012,0.010,0.020,0.198,0.004,0.137,0.017,smoothed,2020
15,0.328,0.208,0.042,0.015,0.013,0.020,0.209,0.005,0.138,0.022,smoothed,2020
16,0.325,0.188,0.039,0.019,0.014,0.031,0.222,0.005,0.132,0.024,smoothed,2020
17,0.322,0.175,0.031,0.021,0.015,0.033,0.244,0.005,0.129,0.025,smoothed,2020
18,0.305,0.169,0.031,0.017,0.016,0.039,0.257,0.006,0.133,0.026,smoothed,2020
19,0.307,0.171,0.029,0.016,0.016,0.034,0.263,0.004,0.132,0.028,smoothed,2020
20,0.302,0.167,0.028,0.014,0.016,0.032,0.273,0.002,0.132,0.033,smoothed,2020
21,0.298,0.162,0.027,0.015,0.015,0.026,0.287,0.002,0.140,0.028,smoothed,2020
22,0.270,0.167,0.027,0.013,0.022,0.024,0.305,0.004,0.141,0.027,smoothed,2020
23,0.254,0.163,0.024,0.014,0.021,0.033,0.315,0.005,0.147,0.023,smoothed,2020
24,0.241,0.165,0.022,0.015,0.024,0.037,0.313,0.008,0.146,0.030,smoothed,2020
25,0.255,0.159,0.020,0.015,0.020,0.037,0.309,0.007,0.147,0.032,smoothed,2020
26,0.255,0.159,0.022,0.015,0.020,0.035,0.314,0.006,0.141,0.035,smoothed,2020
27,0.253,0.146,0.021,0.016,0.018,0.028,0.345,0.003,0.136,0.034,smoothed,2020
28,0.221,0.147,0.017,0.017,0.023,0.031,0.366,0.005,0.138,0.036,smoothed,2020
29,0.216,0.153,0.013,0.015,0.027,0.034,0.367,0.006,0.135,0.034,smoothed,2020
30,0.215,0.164,0.014,0.012,0.032,0.040,0.358,0.005,0.130,0.030,smoothed,2020
31,0.217,0.171,0.020,0.011,0.024,0.033,0.363,0.002,0.124,0.034,smoothed,2020
32,0.206,0.175,0.021,0.010,0.023,0.036,0.381,0.002,0.115,0.031,smoothed,2020
33,0.185,0.177,0.019,0.011,0.022,0.035,0.397,0.001,0.121,0.031,smoothed,2020
34,0.170,0.173,0.013,0.012,0.020,0.040,0.425,0.002,0.116,0.029,smoothed,2020
35,0.154,0.175,0.013,0.013,0.020,0.035,0.439,0.002,0.123,0.026,smoothed,2020
36,0.144,0.175,0.014,0.010,0.019,0.034,0.456,0.004,0.116,0.029,smoothed,2020
37,0.150,0.162,0.013,0.011,0.030,0.041,0.441,0.004,0.120,0.025,smoothed,2020
38,0.156,0.157,0.014,0.010,0.037,0.048,0.437,0.003,0.111,0.026,smoothed,2020
39,0.148,0.159,0.013,0.013,0.034,0.051,0.447,0.003,0.108,0.023,smoothed,2020
40,0.138,0.162,0.012,0.010,0.029,0.043,0.468,0.001,0.111,0.025,smoothed,2020
41,0.138,0.162,0.010,0.009,0.023,0.036,0.484,0.001,0.110,0.029,smoothed,2020
42,0.140,0.152,0.012,0.006,0.026,0.034,0.498,0.000,0.105,0.027,smoothed,2020
43,0.138,0.160,0.014,0.005,0.028,0.036,0.499,0.002,0.092,0.026,smoothed,2020
44,0.132,0.162,0.014,0.006,0.028,0.033,0.514,0.003,0.086,0.022,smoothed,2020
45,0.121,0.171,0.011,0.006,0.028,0.035,0.517,0.004,0.086,0.021,smoothed,2020
46,0.114,0.166,0.008,0.009,0.029,0.035,0.526,0.002,0.093,0.019,smoothed,2020
47,0.111,0.167,0.007,0.008,0.031,0.038,0.526,0.003,0.088,0.021,smoothed,2020
48,0.113,0.166,0.007,0.012,0.030,0.039,0.521,0.004,0.079,0.029,smoothed,2020
49,0.114,0.166,0.010,0.008,0.026,0.039,0.525,0.004,0.076,0.032,smoothed,2020
50,0.103,0.160,0.009,0.008,0.025,0.043,0.535,0.004,0.081,0.033,smoothed,2020
51,0.098,0.154,0.010,0.006,0.033,0.042,0.551,0.001,0.073,0.031,smoothed,2020
52,0.093,0.157,0.009,0.005,0.027,0.049,0.552,0.003,0.076,0.029,smoothed,2020
53,0.089,0.153,0.009,0.004,0.033,0.048,0.558,0.001,0.078,0.027,smoothed,2020
54,0.079,0.152,0.006,0.003,0.034,0.044,0.575,0.002,0.082,0.023,smoothed,2020
55,0.072,0.151,0.005,0.005,0.040,0.041,0.590,0.001,0.077,0.017,smoothed,2020
56,0.067,0.152,0.006,0.006,0.035,0.037,0.615,0.002,0.068,0.014,smoothed,2020
57,0.070,0.153,0.006,0.006,0.032,0.040,0.613,0.002,0.067,0.010,smoothed,2020
58,0.072,0.139,0.006,0.006,0.032,0.036,0.625,0.003,0.067,0.014,smoothed,2020
59,0.070,0.145,0.005,0.005,0.029,0.034,0.627,0.002,0.066,0.016,smoothed,2020
60,0.063,0.138,0.005,0.004,0.028,0.037,0.637,0.002,0.067,0.021,smoothed,2020
61,0.056,0.152,0.005,0.003,0.028,0.043,0.633,0.001,0.060,0.018,smoothed,2020
62,0.052,0.152,0.006,0.003,0.032,0.048,0.626,0.001,0.064,0.016,smoothed,2020
63,0.050,0.164,0.009,0.004,0.031,0.045,0.621,0.000,0.065,0.010,smoothed,2020
64,0.047,0.164,0.010,0.006,0.028,0.040,0.636,0.000,0.060,0.010,smoothed,2020
65,0.043,0.163,0.008,0.004,0.028,0.039,0.649,0.000,0.055,0.011,smoothed,2020
66,0.042,0.161,0.006,0.002,0.032,0.037,0.652,0.000,0.055,0.013,smoothed,2020
67,0.038,0.151,0.005,0.000,0.036,0.044,0.657,0.000,0.056,0.012,smoothed,2020
68,0.037,0.146,0.007,0.000,0.032,0.044,0.669,0.000,0.054,0.011,smoothed,2020
69,0.037,0.141,0.007,0.000,0.034,0.046,0.677,0.000,0.047,0.011,smoothed,2020
70,0.035,0.146,0.006,0.001,0.031,0.043,0.683,0.000,0.045,0.011,smoothed,2020
71,0.038,0.146,0.005,0.001,0.030,0.043,0.678,0.000,0.047,0.011,smoothed,2020
72,0.034,0.139,0.006,0.003,0.022,0.045,0.700,0.000,0.041,0.010,smoothed,2020
73,0.035,0.141,0.005,0.003,0.019,0.046,0.692,0.001,0.046,0.013,smoothed,2020
74,0.031,0.146,0.005,0.003,0.020,0.043,0.700,0.001,0.041,0.012,smoothed,2020
75,0.032,0.146,0.004,0.001,0.025,0.041,0.693,0.001,0.047,0.012,smoothed,2020
76,0.027,0.141,0.004,0.002,0.028,0.038,0.715,0.000,0.036,0.009,smoothed,2020
77,0.028,0.143,0.003,0.001,0.027,0.035,0.721,0.000,0.035,0.007,smoothed,2020
78,0.024,0.153,0.004,0.002,0.026,0.033,0.721,0.000,0.031,0.007,smoothed,2020
79,0.028,0.152,0.005,0.002,0.029,0.030,0.713,0.000,0.036,0.006,smoothed,2020
80,0.029,0.148,0.006,0.002,0.033,0.033,0.705,0.000,0.035,0.009,smoothed,2020
81,0.029,0.150,0.005,0.001,0.028,0.030,0.714,0.000,0.032,0.010,smoothed,2020
82,0.029,0.156,0.004,0.001,0.027,0.034,0.710,0.000,0.028,0.010,smoothed,2020
83,0.028,0.150,0.004,0.001,0.020,0.034,0.726,0.000,0.029,0.009,smoothed,2020
84,0.029,0.141,0.004,0.001,0.024,0.034,0.726,0.000,0.031,0.010,smoothed,2020
85,0.023,0.137,0.005,0.001,0.018,0.029,0.746,0.000,0.031,0.008,smoothed,2020
86,0.018,0.144,0.005,0.001,0.024,0.030,0.741,0.001,0.028,0.008,smoothed,2020
87,0.017,0.147,0.005,0.001,0.025,0.037,0.732,0.001,0.030,0.006,smoothed,2020
88,0.018,0.147,0.005,0.001,0.026,0.041,0.723,0.001,0.032,0.007,smoothed,2020
89,0.022,0.149,0.005,0.001,0.027,0.043,0.713,0.000,0.031,0.008,smoothed,2020
90,0.023,0.151,0.005,0.001,0.032,0.038,0.719,0.000,0.023,0.008,smoothed,2020
91,0.022,0.152,0.004,0.001,0.036,0.040,0.718,0.000,0.020,0.007,smoothed,2020
92,0.018,0.143,0.004,0.001,0.032,0.038,0.737,0.000,0.018,0.007,smoothed,2020
93,0.017,0.146,0.004,0.002,0.029,0.038,0.738,0.001,0.022,0.005,smoothed,2020
94,0.018,0.140,0.004,0.002,0.027,0.036,0.742,0.001,0.022,0.007,smoothed,2020
95,0.017,0.152,0.002,0.001,0.029,0.041,0.726,0.001,0.025,0.006,smoothed,2020
96,0.014,0.154,0.003,0.001,0.025,0.042,0.730,0.000,0.023,0.007,smoothed,2020
97,0.015,0.169,0.004,0.001,0.020,0.044,0.718,0.000,0.024,0.005,smoothed,2020
98,0.015,0.158,0.004,0.002,0.017,0.046,0.728,0.000,0.023,0.006,smoothed,2020
99,0.015,0.146,0.002,0.003,0.017,0.054,0.728,0.000,0.026,0.007,smoothed,2020
100,0.014,0.130,0.001,0.003,0.019,0.059,0.742,0.000,0.024,0.007,smoothed,2020
